Título	Descrição	RESPONSÁVEL	STATUS	DATA INCIAL	PRAZO FINAL	COMENTÁRIOS
Faturar R$ 40.000,00 em serviços de Saúde Mental no Espaço Saúde	Fechar proposta de terapia por utilização com a empresa Delta Fire	Tainara	Cancelada			
Faturar R$ 40.000,00 em serviços de Saúde Mental no Espaço Saúde	Articular proposta de terapia por utilização com a empresa Dedeka 	Tainara	Concluída	05/02/2026		PROPOSTA EM ABERTO AGUARDANDO ACEITE 
Faturar R$ 40.000,00 em serviços de Saúde Mental no Espaço Saúde	Articular proposta de terapia por utilização com a empresa Incopel	Juliany	Cancelada			
Faturar R$ 40.000,00 em serviços de Saúde Mental no Espaço Saúde	Fechar proposta de terapia por utilização com a empresa Makrosul	Tainara	Concluída	05/03/2026	18/03/2026	PROPOSTA EM ABERTO AGUARDANDO ACEITE 
Faturar R$ 40.000,00 em serviços de Saúde Mental no Espaço Saúde	Articular proposta de terapia por utilização com a empresa Codeca	Tainara	Concluída	01/02/2026	28/02/2026	VISITA EMPRESA 12/03 RETOMANDO NEGOCIAÇÕES.
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Fechar proposta de SST com a empresa Franzói (160 vidas)	Juliany	Em andamento	05/03/2026	18/03/2026	Em contato com a Empresa, vamos inciar o BPM para formação de custo
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Fechar proposta de SST com a empresa Legrand (650 vidas)	Tainara	Concluída	01/03/2026	21/03/2026	REUNIAO COM EMPRESA PARA APRESENTAÇÃO DE PLATAFORMA S+ 31/01
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Fechar proposta de SST com a empresa JBS (1940 vidas)	Juliany	Concluída	10/01/2026	31/01/2026	Empresa não avançou
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Fechar proposta de GSA com a JBS	Juliany	Concluída	10/03/2026	31/03/2026	Empresa não avançou
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Realizar visita nas empresas de forma integrada nas renovações de SO (BLT, Vinhedos e Globo ) para prospecção de PCA para converer em 1 proposta	Luciana pillon	Concluída	01/02/2026	31/03/2026	Fechado PCA com a BLT e PCA Coordenação com a GloBo. 
Faturar R$ 480.000,00 em serviços de Saúde Ocupacional	Fechar proposta de PCA com a empresa BLT	Juliany	Concluída	10/01/2026	31/01/2026	CONCLUÍDA COT-21594-Q3S9X
Faturar R$ 10.000,00 com a Nutrição	Fechar proposta do piloto SESIMAX de consulta nutricional com a empresa JOPMAR	Juliany	Concluída	17/02/2026	31/03/2026	 Empresa não avançou
Faturar R$ 10.000,00 com a Nutrição	Fechar proposta do piloto SESIMAX de consulta nutricional com a empresa Plasmosul	Tainara	Concluída			EMPRESA NÃO DEU ACEITE NA PROPOSTA EM VIRTUDE DO DESCONTO EM FOLHA 
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Renovar contrato com a Prefeitura para converter 50 matículas	Tainara	Concluída	06/01/2026	31/01/2026	Prefeitura deu aceite na renovação. Contrato renovado. Foram realizadas 55 matrículas totalizando R$ 30.000,00 de receita
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Divulgação no evento da prefeitura Educaxias	Luciana/Jaqueline	Concluída	28/02/2026	28/02/2026	Realziado no dia 28/02/2026 no auditório do CAT. publico estimado no dia do evento 200 pessoas.
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Contatar rede de atacados de Caxias	Raquel/Jaqueline	Concluída	05/02/2026	14/02/2026	Feito contato com os maiores atacados Stok Center, Via Atacadista, Fort e Vantajão. Materiais enviados para divulgação entre os colaboradores. 
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Contatar Grupo Andreazza	Raquel	Concluída	14/02/2026	21/02/2026	Em contato com a gestora do RH do grupo Andreazza - Tácia, enviado material para divulgação interna aos colaborades 
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Contatar diretora geral dos clubes de mães de Caxias	Raquel/Jaqueline	Concluída	07/02/2026	10/02/2026	Enviada publicação de forma digital para a Marlen, pois retornam das férias em março.
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Contatar conselho de igrejas evangélicas de Caxias do Sul	Jaqueline	Concluída	04/02/2026	04/02/2026	Eliege - secretária do representate de todas as igrejas evangélicas de Caxias, solicitou material digital, para ser apresentada aos demais integrantes do conselho.
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Aproximação com o Sine	Raquel	Concluída	05/02/2026	05/02/2026	Coord.Zenaira - feita reunião para entrega de materias. Innformou que o material ficará c/a equipe de atendimento p/divulgação sempre que verificarem que o candidato as vagas possuir necessidade de conluir os estudos.
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Divulgação na Praça Dante Alighiere	Raquel/Jaqueline	Concluída	06/03/2026	06/03/2026	Realziado no dia 28/02/2026 no auditório do CAT. publico estimado no dia do evento 200 pessoas.
Efetuar 135 matrículas pagas na EJA no 1º semestre de 2026	Divulgação no feirão de empregos do Sine	Raquel/Jaqueline	Concluída	22/03/2026	22/03/2026	Realizada divulgação no Feira da Prefeitura no dia 22/03/2026 em conjunto com o SENAI
						
